id,bid_text,bidder_name
1,"We can deliver your project on time and with high quality.","Alice"
2,"This is a unique bid for your job. Please consider it.","Bob"
3,"Looking forward to working with you and providing excellent results.","Charlie"
4,"Our team has extensive experience in similar projects and can help you succeed.","David"
5,"I will ensure 100% satisfaction and timely delivery of all tasks.","Eve"
6,"Hello, I have reviewed your requirements and can start immediately.","Frank"
7,"Buy now!!! http://spamlink.com http://spamlink.com http://spamlink.com http://spamlink.com","Spammer1"
8,"This is a repeated sentence. This is a repeated sentence. This is a repeated sentence.","Spammer2"
9,"Click this link to get free stuff: http://link1.com http://link2.com http://link3.com http://link4.com","Spammer3"
10,"This is a copied text from another bid. This is a copied text from another bid.","Spammer4"
